Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Lao PDR,LAO,101.495,101.622,101.643,102.004,102.675,103.02,102.376,101.805,101.349,101.984,102.712,102.441,102.244,102.164,102.24,102.155,102.047,101.918,101.83,101.959,102.195,102.51,102.858,103.031,103.182,102.89,103.384,102.539,102.267,101.985,102.956,106.594,107.339,110.586,108.949,107.335,105.201,102.839,100.972,101.944,100.814,98.236,93.236,90.418,91.629,89.72,90.592,92.487,91.877,91.405,89.213,87.866,85.731,84.443,81.074,80.232,79.141,78.08,77.021,76.164,74.572,73.175,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,200,500,500,630,1000,1500,1900,2500,3200,3800,4400,5100,5800,6500,7300,8100,8800,9600,10000,11000,12000,12000,13000,13000,14000,14000,15000,15000,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,200,200,500,500,510,540,720,790,840,820,880,900,980,1000,1000,1000,1000,1000,1000,1000,990,970,960,940,920,890,810,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,200,500,500,600,980,1400,1800,2400,3100,3700,4300,4900,5600,6300,7000,7700,8500,9200,9900,11000,11000,12000,12000,13000,13000,14000,14000,15000,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.1,..,..,..,..,20.5,..,..,..,..,21.7,..,..,..,..,..,..,20.5,..,..,22.4,..,20.7,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.9,..,..,..,..,23.2,..,..,..,..,24.7,..,..,..,..,..,..,23.3,..,..,25.9,..,24.6,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lao PDR,LAO,80.57063715,81.01485126,81.37379764,81.77506683,82.47203301,82.94937218,83.03743724,83.17726301,83.35089409,83.55605776,83.79927532,84.05662595,84.32336747,84.62543806,85.02917764,85.65258357,86.53568356,87.58855076,88.64215661,89.53176505,90.15824997,90.50259787,90.62129686,90.61998588,90.57710482,90.49191011,90.37200391,90.23551133,90.08582165,89.9423089,89.836227,89.79524796,89.80910089,89.84673833,89.82881274,89.67430237,89.35718834,88.79319888,87.96066631,86.93329002,85.75195308,84.41303094,82.88616308,81.14528106,79.20560269,76.89395828,74.33830037,71.93052256,69.76522008,67.87096802,66.20773095,64.7046185,63.324826,61.99923329,60.68500815,59.43978015,58.35366362,57.46455655,56.72103261,56.0518992,55.40717055,54.7362689,54.07600427
"Age dependency ratio, old",SP.POP.DPND.OL,Lao PDR,LAO,4.789111989,4.888500926,4.98015319,5.069860311,5.169763561,5.266686606,5.35334256,5.443214488,5.533434913,5.615578834,5.687625125,5.751845111,5.806767933,5.854571492,5.903966828,5.964728277,6.037480592,6.119934513,6.206541212,6.286602835,6.355429816,6.40985213,6.448644916,6.475042265,6.492108494,6.500931687,6.50226489,6.49583876,6.483131413,6.467635326,6.449851477,6.432693258,6.418276843,6.403691182,6.384915875,6.361248715,6.333361364,6.363974256,6.44864768,6.52302826,6.589018826,6.648041744,6.695809614,6.725096948,6.737601212,6.688094731,6.591504833,6.517501838,6.471644328,6.452407372,6.457938135,6.483322325,6.524809739,6.577974707,6.643229523,6.618467326,6.529429458,6.49703136,6.51043545,6.564624952,6.64921377,6.742135707,6.863695827
"Age dependency ratio, young",SP.POP.DPND.YG,Lao PDR,LAO,75.78152516,76.12635033,76.39364445,76.70520652,77.30226945,77.68268557,77.68409468,77.73404852,77.81745918,77.94047893,78.1116502,78.30478084,78.51659953,78.77086656,79.12521081,79.68785529,80.49820296,81.46861624,82.4356154,83.24516221,83.80282015,84.09274574,84.17265194,84.14494361,84.08499632,83.99097842,83.86973902,83.73967257,83.60269024,83.47467358,83.38637553,83.3625547,83.39082404,83.44304715,83.44389687,83.31305366,83.02382697,82.42922462,81.51201863,80.41026176,79.16293426,77.7649892,76.19035347,74.42018411,72.46800147,70.20586355,67.74679554,65.41302072,63.29357575,61.41856065,59.74979281,58.22129618,56.80001626,55.42125858,54.04177863,52.82131282,51.82423416,50.96752519,50.21059716,49.48727425,48.75795678,47.9941332,47.21230844
